City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,75.0,77,75,14.97,light rain
1,Bayan,CN,46.0833,127.4,6.28,92,0,2.82,clear sky
2,Mataura,NZ,-46.1927,168.8643,54.0,71,72,5.01,broken clouds
3,Peniche,PT,39.3558,-9.3811,60.01,87,100,24.0,overcast clouds
4,Uchaly,RU,54.2996,59.4521,-9.71,90,100,6.73,overcast clouds
5,Albany,US,42.6001,-73.9662,21.99,51,14,5.01,few clouds
6,Mandalgovi,MN,45.7625,106.2708,14.16,84,0,6.58,clear sky
7,Saskylakh,RU,71.9167,114.0833,-33.05,81,83,5.08,broken clouds
8,Sibu,MY,2.3,111.8167,78.8,89,40,1.52,light rain
9,Castro,BR,-24.7911,-50.0119,74.7,77,86,4.36,overcast clouds
10,Paris,FR,48.8534,2.3488,39.2,93,90,17.27,overcast clouds
11,Norman Wells,CA,65.282,-126.8329,-20.2,76,75,4.61,broken clouds
12,Yellowknife,CA,62.456,-114.3525,-27.99,75,20,4.61,few clouds
13,Punta Arenas,CL,-53.15,-70.9167,59.0,47,40,29.93,light rain
14,Acapulco,MX,16.8634,-99.8901,80.6,78,90,9.22,overcast clouds
15,Broome,US,42.2506,-75.833,19.0,73,90,17.27,light snow
16,Elat,IL,29.5581,34.9482,64.4,24,0,11.5,clear sky
17,Dingle,PH,10.9995,122.6711,75.67,87,97,2.24,overcast clouds
18,Paita,PE,-5.0892,-81.1144,86.0,51,0,8.05,clear sky
19,Ancud,CL,-41.8697,-73.8203,72.0,72,75,9.22,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,78.3,67,10,11.25,clear sky
21,San Cristobal,VE,7.7669,-72.225,86.0,58,20,6.91,few clouds
22,Kodiak,US,57.79,-152.4072,39.2,60,20,4.61,few clouds
23,Karatuzskoye,RU,53.6072,92.8667,4.66,91,100,3.91,overcast clouds
24,Manzil Salim,TN,35.8567,8.4765,53.6,30,20,11.5,few clouds
25,Saint-Pierre,RE,-21.3393,55.4781,82.4,74,0,3.44,clear sky
26,Barrow,US,71.2906,-156.7887,5.0,78,20,21.85,snow
27,Busselton,AU,-33.65,115.3333,60.01,86,5,2.26,clear sky
28,Ponta Do Sol,PT,32.6667,-17.1,64.4,82,20,3.44,few clouds
29,Nikolskoye,RU,59.7035,30.7861,35.01,93,90,6.71,overcast clouds
30,Ushuaia,AR,-54.8,-68.3,51.8,66,75,4.61,light rain
31,Karratha,AU,-20.7377,116.8463,86.83,47,11,19.33,light rain
32,Hermanus,ZA,-34.4187,19.2345,66.99,89,12,4.0,light rain
33,Avarua,CK,-21.2078,-159.775,80.6,78,20,9.22,light rain
34,Rafraf,TN,37.1904,10.1837,59.0,67,40,19.57,scattered clouds
